,Material type,Elements,Ionic radius,Core size (nm),Hydro size (nm),Surface charge (mV),Surface area (m2/g),Cell type,Exposure dose (ug/mL),Topological polar surface area (Å²),a (Å),b (Å),c (Å),α (°),β (°),γ (°),Density (g/cm3),Viability (%),cell_line,cell_species,cell_origin,time,toxicity,average electronegativity,Molecular weight (g/mol),Number of atoms
539,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,12.5,43.4,5.752,5.752,9.426,90,90.0,90,4.59,44.4,,,,,,2.684,157.87429,5.0
540,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,25.0,17.1,2.993,2.993,2.993,60,60,60,6.97,45.3,,,,,,2.67,79.5454,2.0
541,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,100.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,46.1,,,,,,2.684,157.87429,5.0
542,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,50.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,46.5,,,,,,2.66,74.93259499999999,2.0
543,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,50.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,48.2,,,,,,2.66,74.93259499999999,2.0
544,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,50.0,17.1,2.993,2.993,2.993,60,60,60,6.97,49.4,,,,,,2.67,79.5454,2.0
545,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,100.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,50.2,,,,,,2.66,74.93259499999999,2.0
546,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,100.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,50.8,,,,,,2.66,74.93259499999999,2.0
547,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,25.0,17.1,3.289,3.289,5.307,90,90,120,5.44,52.4,,,,,,2.545,81.4084,2.0
548,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,50.0,17.1,2.993,2.993,2.993,60,60,60,6.97,52.5,,,,,,2.67,79.5454,2.0
549,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,25.0,17.1,3.289,3.289,5.307,90,90,120,5.44,53.9,,,,,,2.545,81.4084,2.0
550,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,12.5,43.4,5.752,5.752,9.426,90,90.0,90,4.59,54.5,,,,,,2.684,157.87429,5.0
551,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,6.3,43.4,5.752,5.752,9.426,90,90.0,90,4.59,54.9,,,,,,2.684,157.87429,5.0
552,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,50.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,55.0,,,,,,2.684,157.87429,5.0
553,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,50.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,55.5,,,,,,2.684,157.87429,5.0
554,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,6.3,17.1,3.289,3.289,5.307,90,90,120,5.44,57.5,,,,,,2.545,81.4084,2.0
555,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,12.5,17.1,2.993,2.993,2.993,60,60,60,6.97,57.8,,,,,,2.67,79.5454,2.0
556,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,3.2,17.1,3.289,3.289,5.307,90,90,120,5.44,58.8,,,,,,2.545,81.4084,2.0
557,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,25.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,59.9,,,,,,2.66,74.93259499999999,2.0
558,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,50.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,62.6,,,,,,2.66,74.93259499999999,2.0
559,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,6.3,17.1,2.993,2.993,2.993,60,60,60,6.97,63.2,,,,,,2.67,79.5454,2.0
560,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,25.0,17.1,2.993,2.993,2.993,60,60,60,6.97,66.2,,,,,,2.67,79.5454,2.0
561,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,12.5,17.1,2.993,2.993,2.993,60,60,60,6.97,66.2,,,,,,2.67,79.5454,2.0
562,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,25.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,67.6,,,,,,2.66,74.93259499999999,2.0
563,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,50.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,67.8,,,,,,2.66,74.93259499999999,2.0
564,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,12.5,17.1,4.24,4.24,4.24,90,90.0,90,6.31,67.8,,,,,,2.66,74.93259499999999,2.0
565,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,25.0,17.1,2.993,2.993,2.993,60,60,60,6.97,68.5,,,,,,2.67,79.5454,2.0
566,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,6.3,43.4,5.752,5.752,9.426,90,90.0,90,4.59,71.8,,,,,,2.684,157.87429,5.0
567,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,12.5,17.1,3.289,3.289,5.307,90,90,120,5.44,72.5,,,,,,2.545,81.4084,2.0
568,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,3.2,17.1,3.289,3.289,5.307,90,90,120,5.44,73.9,,,,,,2.545,81.4084,2.0
569,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,25.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,76.5,,,,,,2.684,157.87429,5.0
570,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,25.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,76.8,,,,,,2.684,157.87429,5.0
571,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,3.2,43.4,5.752,5.752,9.426,90,90.0,90,4.59,78.1,,,,,,2.684,157.87429,5.0
572,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,12.5,17.1,2.993,2.993,2.993,60,60,60,6.97,79.1,,,,,,2.67,79.5454,2.0
573,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,12.5,17.1,3.289,3.289,5.307,90,90,120,5.44,79.6,,,,,,2.545,81.4084,2.0
574,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,3.2,34.1,5.41,5.41,5.41,90,90.0,90,6.99,80.0,,,,,,2.6666666666666665,172.1148,3.0
575,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,3.2,34.1,5.41,5.41,5.41,90,90.0,90,6.99,80.0,,,,,,2.6666666666666665,172.1148,3.0
576,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,0.8,43.4,8.276,8.276,8.276,109,109,109,4.86,80.0,,,,,,2.7960000000000003,159.6882,5.0
577,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,0.8,43.4,10.796,10.796,10.796,90,90.0,90,7.51,80.0,,,,,,2.544,362.4982,5.0
578,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,3.2,34.1,5.12,5.18,5.25,90,90.0,90,9.97,80.0,,,,,,2.7266666666666666,210.4888,3.0
579,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,200.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,80.0,,,,,,2.7266666666666666,210.4888,3.0
580,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,6.3,34.1,5.12,5.18,5.25,90,90.0,90,9.97,80.0,,,,,,2.7266666666666666,210.4888,3.0
581,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,3.2,43.4,10.118,10.118,10.118,90,90.0,90,6.75,80.0,,,,,,2.7760000000000002,277.63419999999996,5.0
582,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,25.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,80.0,,,,,,2.7760000000000002,277.63419999999996,5.0
583,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,0.4,43.4,10.118,10.118,10.118,90,90.0,90,6.75,80.0,,,,,,2.7760000000000002,277.63419999999996,5.0
584,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,3.2,43.4,10.118,10.118,10.118,90,90.0,90,6.75,80.0,,,,,,2.7760000000000002,277.63419999999996,5.0
585,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,1.6,43.4,10.118,10.118,10.118,90,90.0,90,6.75,80.0,,,,,,2.7760000000000002,277.63419999999996,5.0
586,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,0.8,43.4,3.945,3.945,6.151,90,90.0,120,6.52,80.0,,,,,,2.504,325.80914,5.0
587,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,0.8,43.4,3.945,3.945,6.151,90,90.0,120,6.52,80.0,,,,,,2.504,325.80914,5.0
588,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,6.3,43.4,3.945,3.945,6.151,90,90.0,120,6.52,80.0,,,,,,2.504,325.80914,5.0
589,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,12.5,43.4,3.945,3.945,6.151,90,90.0,120,6.52,80.0,,,,,,2.504,325.80914,5.0
590,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,200.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,80.0,,,,,,2.675,74.69279999999999,2.0
591,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,1.6,43.4,4.92,12.46,5.42,90,90.0,90,5.36,80.0,,,,,,2.884,291.5182,5.0
592,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,200.0,43.4,4.92,12.46,5.42,90,90.0,90,5.36,80.0,,,,,,2.884,291.5182,5.0
593,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,0.4,34.1,5.028,5.028,5.519,90,90,120,2.48,80.0,,,,,,2.9266666666666663,60.0843,3.0
594,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,1.6,17.1,3.289,3.289,5.307,90,90,120,5.44,80.5,,,,,,2.545,81.4084,2.0
595,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,6.3,17.1,4.24,4.24,4.24,90,90.0,90,6.31,80.9,,,,,,2.66,74.93259499999999,2.0
596,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,0.4,43.4,5.178,5.178,5.178,55,55,55,3.87,81.0,,,,,,2.708,101.9612772,5.0
597,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,50.0,43.4,5.178,5.178,5.178,55,55,55,3.87,81.0,,,,,,2.708,101.9612772,5.0
598,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,1.6,43.4,5.178,5.178,5.178,55,55,55,3.87,81.0,,,,,,2.708,101.9612772,5.0
599,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,25.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,81.0,,,,,,2.6666666666666665,172.1148,3.0
600,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,0.8,34.1,5.41,5.41,5.41,90,90.0,90,6.99,81.0,,,,,,2.6666666666666665,172.1148,3.0
601,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,6.3,43.4,8.276,8.276,8.276,109,109,109,4.86,81.0,,,,,,2.7960000000000003,159.6882,5.0
602,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,0.4,43.4,8.276,8.276,8.276,109,109,109,4.86,81.0,,,,,,2.7960000000000003,159.6882,5.0
603,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,0.8,34.1,5.12,5.18,5.25,90,90.0,90,9.97,81.0,,,,,,2.7266666666666666,210.4888,3.0
604,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,200.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,81.0,,,,,,2.7266666666666666,210.4888,3.0
605,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,100.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,81.0,,,,,,2.7760000000000002,277.63419999999996,5.0
606,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,50.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,81.0,,,,,,2.7760000000000002,277.63419999999996,5.0
607,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,0.4,43.4,3.945,3.945,6.151,90,90.0,120,6.52,81.0,,,,,,2.504,325.80914,5.0
608,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,0.8,17.1,4.171,4.171,4.171,90,90.0,90,6.62,81.0,,,,,,2.675,74.69279999999999,2.0
609,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,50.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,81.0,,,,,,2.675,74.69279999999999,2.0
610,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,0.4,17.1,4.171,4.171,4.171,90,90.0,90,6.62,81.0,,,,,,2.675,74.69279999999999,2.0
611,Sb2O3,Sb,76.0,11.8,274.9,-35.3,93.6,0,0.4,43.4,4.92,12.46,5.42,90,90.0,90,5.36,81.0,,,,,,2.884,291.5182,5.0
612,Sb2O3,Sb,76.0,11.8,274.9,-35.3,93.6,0,12.5,43.4,4.92,12.46,5.42,90,90.0,90,5.36,81.0,,,,,,2.884,291.5182,5.0
613,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,50.0,34.1,5.028,5.028,5.519,90,90,120,2.48,81.0,,,,,,2.9266666666666663,60.0843,3.0
614,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,0.4,34.1,5.028,5.028,5.519,90,90,120,2.48,81.0,,,,,,2.9266666666666663,60.0843,3.0
615,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,12.5,34.1,5.028,5.028,5.519,90,90,120,2.48,81.0,,,,,,2.9266666666666663,60.0843,3.0
616,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,100.0,34.1,5.028,5.028,5.519,90,90,120,2.48,81.0,,,,,,2.9266666666666663,60.0843,3.0
617,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,25.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,81.5,,,,,,2.66,74.93259499999999,2.0
618,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,6.3,17.1,2.993,2.993,2.993,60,60,60,6.97,81.7,,,,,,2.67,79.5454,2.0
619,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,12.5,43.4,5.752,5.752,9.426,90,90.0,90,4.59,81.8,,,,,,2.684,157.87429,5.0
620,Al2O3,Al,53.5,14.7,260.4,,101.4,0,200.0,43.4,5.178,5.178,5.178,55,55,55,3.87,82.0,,,,,,2.708,101.9612772,5.0
621,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,0.8,43.4,5.178,5.178,5.178,55,55,55,3.87,82.0,,,,,,2.708,101.9612772,5.0
622,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,1.6,34.1,5.41,5.41,5.41,90,90.0,90,6.99,82.0,,,,,,2.6666666666666665,172.1148,3.0
623,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,6.3,34.1,5.41,5.41,5.41,90,90.0,90,6.99,82.0,,,,,,2.6666666666666665,172.1148,3.0
624,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,50.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,82.0,,,,,,2.6666666666666665,172.1148,3.0
625,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,200.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,82.0,,,,,,2.6666666666666665,172.1148,3.0
626,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,0.4,43.4,8.276,8.276,8.276,109,109,109,4.86,82.0,,,,,,2.7960000000000003,159.6882,5.0
627,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,50.0,43.4,8.276,8.276,8.276,109,109,109,4.86,82.0,,,,,,2.7960000000000003,159.6882,5.0
628,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,200.0,43.4,8.276,8.276,8.276,109,109,109,4.86,82.0,,,,,,2.7960000000000003,159.6882,5.0
629,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,3.2,43.4,10.796,10.796,10.796,90,90.0,90,7.51,82.0,,,,,,2.544,362.4982,5.0
630,Gd2O3,Gd,93.5,43.8,222.0,6.5,40.0,1,50.0,43.4,10.796,10.796,10.796,90,90.0,90,7.51,82.0,,,,,,2.544,362.4982,5.0
631,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,12.5,34.1,5.12,5.18,5.25,90,90.0,90,9.97,82.0,,,,,,2.7266666666666666,210.4888,3.0
632,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,200.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,82.0,,,,,,2.7266666666666666,210.4888,3.0
633,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,100.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,82.0,,,,,,2.7760000000000002,277.63419999999996,5.0
634,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,0.8,43.4,10.118,10.118,10.118,90,90.0,90,6.75,82.0,,,,,,2.7760000000000002,277.63419999999996,5.0
635,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,200.0,43.4,3.945,3.945,6.151,90,90.0,120,6.52,82.0,,,,,,2.504,325.80914,5.0
636,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,100.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,82.0,,,,,,2.675,74.69279999999999,2.0
637,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,12.5,17.1,4.171,4.171,4.171,90,90.0,90,6.62,82.0,,,,,,2.675,74.69279999999999,2.0
638,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,200.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,82.0,,,,,,2.675,74.69279999999999,2.0
639,Sb2O3,Sb,76.0,11.8,274.9,-35.3,93.6,0,0.8,43.4,4.92,12.46,5.42,90,90.0,90,5.36,82.0,,,,,,2.884,291.5182,5.0
640,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,6.3,43.4,4.92,12.46,5.42,90,90.0,90,5.36,82.0,,,,,,2.884,291.5182,5.0
641,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,6.3,34.1,5.028,5.028,5.519,90,90,120,2.48,82.0,,,,,,2.9266666666666663,60.0843,3.0
642,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,0.8,34.1,5.028,5.028,5.519,90,90,120,2.48,82.0,,,,,,2.9266666666666663,60.0843,3.0
643,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,6.3,34.1,5.41,5.41,5.41,90,90.0,90,6.99,83.0,,,,,,2.6666666666666665,172.1148,3.0
644,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,0.8,34.1,5.41,5.41,5.41,90,90.0,90,6.99,83.0,,,,,,2.6666666666666665,172.1148,3.0
645,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,12.5,43.4,8.276,8.276,8.276,109,109,109,4.86,83.0,,,,,,2.7960000000000003,159.6882,5.0
646,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,25.0,43.4,8.276,8.276,8.276,109,109,109,4.86,83.0,,,,,,2.7960000000000003,159.6882,5.0
647,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,,43.4,8.276,8.276,8.276,109,109,109,4.86,83.0,,,,,,2.7960000000000003,159.6882,5.0
648,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,50.0,43.4,8.276,8.276,8.276,109,109,109,4.86,83.0,,,,,,2.7960000000000003,159.6882,5.0
649,Gd2O3,Gd,93.5,43.8,222.0,6.5,40.0,1,0.8,43.4,10.796,10.796,10.796,90,90.0,90,7.51,83.0,,,,,,2.544,362.4982,5.0
650,Gd2O3,Gd,93.5,43.8,222.0,6.5,40.0,1,3.2,43.4,10.796,10.796,10.796,90,90.0,90,7.51,83.0,,,,,,2.544,362.4982,5.0
651,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,6.3,34.1,5.12,5.18,5.25,90,90.0,90,9.97,83.0,,,,,,2.7266666666666666,210.4888,3.0
652,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,0.8,34.1,5.12,5.18,5.25,90,90.0,90,9.97,83.0,,,,,,2.7266666666666666,210.4888,3.0
653,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,100.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,83.0,,,,,,2.7266666666666666,210.4888,3.0
654,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,25.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,83.0,,,,,,2.675,74.69279999999999,2.0
655,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,0.4,43.4,4.92,12.46,5.42,90,90.0,90,5.36,83.0,,,,,,2.884,291.5182,5.0
656,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,200.0,43.4,4.92,12.46,5.42,90,90.0,90,5.36,83.0,,,,,,2.884,291.5182,5.0
657,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,12.5,17.1,2.993,2.993,2.993,60,60,60,6.97,83.1,,,,,,2.67,79.5454,2.0
658,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,3.2,17.1,4.24,4.24,4.24,90,90.0,90,6.31,83.5,,,,,,2.66,74.93259499999999,2.0
659,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,3.2,43.4,5.178,5.178,5.178,55,55,55,3.87,84.0,,,,,,2.708,101.9612772,5.0
660,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,100.0,43.4,5.178,5.178,5.178,55,55,55,3.87,84.0,,,,,,2.708,101.9612772,5.0
661,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,100.0,43.4,8.276,8.276,8.276,109,109,109,4.86,84.0,,,,,,2.7960000000000003,159.6882,5.0
662,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,200.0,43.4,8.276,8.276,8.276,109,109,109,4.86,84.0,,,,,,2.7960000000000003,159.6882,5.0
663,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,0.4,43.4,8.276,8.276,8.276,109,109,109,4.86,84.0,,,,,,2.7960000000000003,159.6882,5.0
664,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,1.6,43.4,8.276,8.276,8.276,109,109,109,4.86,84.0,,,,,,2.7960000000000003,159.6882,5.0
665,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,12.5,34.1,5.12,5.18,5.25,90,90.0,90,9.97,84.0,,,,,,2.7266666666666666,210.4888,3.0
666,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,50.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,84.0,,,,,,2.7266666666666666,210.4888,3.0
667,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,50.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,84.0,,,,,,2.7760000000000002,277.63419999999996,5.0
668,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,6.3,43.4,10.118,10.118,10.118,90,90.0,90,6.75,84.0,,,,,,2.7760000000000002,277.63419999999996,5.0
669,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,3.2,43.4,3.945,3.945,6.151,90,90.0,120,6.52,84.0,,,,,,2.504,325.80914,5.0
670,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,1.6,43.4,3.945,3.945,6.151,90,90.0,120,6.52,84.0,,,,,,2.504,325.80914,5.0
671,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,200.0,43.4,3.945,3.945,6.151,90,90.0,120,6.52,84.0,,,,,,2.504,325.80914,5.0
672,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,6.3,17.1,4.171,4.171,4.171,90,90.0,90,6.62,84.0,,,,,,2.675,74.69279999999999,2.0
673,Sb2O3,Sb,76.0,11.8,274.9,-35.3,93.6,0,3.2,43.4,4.92,12.46,5.42,90,90.0,90,5.36,84.0,,,,,,2.884,291.5182,5.0
674,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,6.3,34.1,5.028,5.028,5.519,90,90,120,2.48,84.0,,,,,,2.9266666666666663,60.0843,3.0
675,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,25.0,34.1,5.028,5.028,5.519,90,90,120,2.48,84.0,,,,,,2.9266666666666663,60.0843,3.0
676,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,1.6,34.1,5.028,5.028,5.519,90,90,120,2.48,84.0,,,,,,2.9266666666666663,60.0843,3.0
677,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,50.0,34.1,5.028,5.028,5.519,90,90,120,2.48,84.0,,,,,,2.9266666666666663,60.0843,3.0
678,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,50.0,34.1,5.028,5.028,5.519,90,90,120,2.48,84.0,,,,,,2.9266666666666663,60.0843,3.0
679,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,100.0,34.1,5.028,5.028,5.519,90,90,120,2.48,84.0,,,,,,2.9266666666666663,60.0843,3.0
680,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,12.5,43.4,5.178,5.178,5.178,55,55,55,3.87,85.0,,,,,,2.708,101.9612772,5.0
681,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,100.0,43.4,5.178,5.178,5.178,55,55,55,3.87,85.0,,,,,,2.708,101.9612772,5.0
682,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,6.3,43.4,5.178,5.178,5.178,55,55,55,3.87,85.0,,,,,,2.708,101.9612772,5.0
683,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,50.0,43.4,5.178,5.178,5.178,55,55,55,3.87,85.0,,,,,,2.708,101.9612772,5.0
684,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,200.0,43.4,5.178,5.178,5.178,55,55,55,3.87,85.0,,,,,,2.708,101.9612772,5.0
685,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,0.4,34.1,5.41,5.41,5.41,90,90.0,90,6.99,85.0,,,,,,2.6666666666666665,172.1148,3.0
686,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,50.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,85.0,,,,,,2.6666666666666665,172.1148,3.0
687,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,0.4,34.1,5.41,5.41,5.41,90,90.0,90,6.99,85.0,,,,,,2.6666666666666665,172.1148,3.0
688,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,100.0,43.4,8.276,8.276,8.276,109,109,109,4.86,85.0,,,,,,2.7960000000000003,159.6882,5.0
689,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,50.0,43.4,10.796,10.796,10.796,90,90.0,90,7.51,85.0,,,,,,2.544,362.4982,5.0
690,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,1.6,34.1,5.12,5.18,5.25,90,90.0,90,9.97,85.0,,,,,,2.7266666666666666,210.4888,3.0
691,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,0.4,43.4,10.118,10.118,10.118,90,90.0,90,6.75,85.0,,,,,,2.7760000000000002,277.63419999999996,5.0
692,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,6.3,43.4,10.118,10.118,10.118,90,90.0,90,6.75,85.0,,,,,,2.7760000000000002,277.63419999999996,5.0
